combined_tagalog,english,difficulty,similarity_score,source
"Sa harapán ay nakalátag ang magandáng lawà, na nalilibid ng̃ baybaying berde at bughaw na bulubundukin, na warìng isáng malakíng salamín na nakúkulong ng̃ palibid na pawàng esmeralda at sápiro, na sa kaniyáng lunas ay nanánalamín ang lang̃it.","In front extended the beautiful lake bordered by green shores and blue mountains, like a huge mirror, framed in emeralds and sapphires, reflecting the sky in its glass.",Hard,0.8672,El Filibusterismo
"Sa gayón, ng̃unì't ¿kailan?","""Then, but when?",Easy,0.8667,El Filibusterismo
¿Anó ang ginawâ sa akin?,What have they done to me?,Easy,0.8664,El Filibusterismo
"Walâng pag-aalinlang̃an ang binatà na ang kaniláng pag-uusapan ay ang nangyari sa gabíng nagdaán, at sa dahiláng siyá'y handâng hing̃án ng̃ paliwanag ang binibini at alám niyá ang pagkamataás at ugalìng matigás nitó ay ináasahan na ang isáng pagkakasirâ.","The young man had no doubt that they were to talk about what had happened on the previous night, and as he was determined to ask for an explanation, and knew how proud and haughty she was, he foresaw an estrangement.",Hard,0.8662,El Filibusterismo
¿Nakikilala mo ba sila?--ang tanóng n~g alférez na itinataás ang banig.,"""Do you know them?"" asked the alferez, lifting up the matting.",Medium,0.8657,Noli Me Tangere
"Ang mga catotohanang itó, Cárilagdilagang Guinoo, ay sinabi n~g Espíritu Santo, sa canyáng cataastaasang carunun~gang cailan ma'y hindî naabót n~g pag iisip n~g tao mulâ pa sa mga panahón, ni Séneca at ni Aristóteles, iyang mga pantás na mga fraile n~g unang panahón hanggang sa macasalanang mga panahón natin n~gayón, at ang mga catotohanang itó'y hindî n~gâ ibá cung di hindî palaguing ang mga maliliit na bagay ay maliliit n~ga, cung di pawang malalakí, hindî cung isusumag sa mga mumuntî, cung di cung isusumag sa lalong malalakí sa lúpà at sa lan~git at sa han~gin at sa mga pan~ganurin at sa mga tubig at sa alang-alang at sa buhay at sa camatayan.""","These truths, most honorable sir, the divine Spirit spoke with that supreme wisdom which human intelligence has not comprehended since the times of Seneca and Aristotle, those wise priests of antiquity, even to our sinful days, and these truths are that not always are small affairs small, but that they are great, not by the side of the little things, but by the side of the grandest of the earth and of the heavens and of the air and of the clouds and of the waters and of space and of life and of death!""",Hard,0.8654,Noli Me Tangere
"Upang pigilin ang isáng muntîng kasamâán, ay naglalagdâ ng̃ maraming kautusán na nagiging sanhî ng̃ lalò pang maraming kasamâán: _corruptíssima in republica plurimæ leges_, ang sabi ni Tácito.","To stamp out a small evil, there are dictated many laws that cause greater evils still: 'corruptissima in republica plurimae leges,' said Tacitus.",Hard,0.8651,El Filibusterismo
Hindî siyá nakikilala n~g bayan.,The people did not recognize him.,Easy,0.8645,Noli Me Tangere
"Magkakasala ka, kaibigang Martín, mahuhulog ka sa isáng erehía!","""You're going to be damned, friend Martin, you're falling into heresy!",Medium,0.8641,El Filibusterismo
"Nang dumatíng ang dating mayarì at nabatíd ang mg̃a nangyari, ng̃ mákitang inaarì ng̃ ibá ang kaniyáng mg̃a lupaín, yaóng mg̃a lupaíng nagíng sanhî ng̃ ikinamatáy ng̃ kaniyáng asawa't anák; nang matagpûang pipi ang kaniyáng amá, ang kaniyáng anák ay naglilingkód na parang alilà, at tumanggáp pá ng̃ isáng utos, na bigáy ng̃ tinintí sa nayon, upang alisín ang mg̃a lamán ng̃ bahay at iwan itó sa loob ng̃ tatlóng araw, ay umupô si kabisang Tales sa piling ng̃ kaniyáng amá at hindî man halos nang̃usap sa boong maghápon.","When the former owner returned and learned what had happened, when he saw his fields in another's possession, - those fields that had cost the lives of his wife and daughter, - when he saw his father dumb and his daughter working as a servant, and when he himself received an order from the town council, transmitted through the headman of the village, to move out of the house within three days, he said nothing; he sat down at his father's side and spoke scarcely once during the whole day.",Hard,0.8639,El Filibusterismo
¿Anóng monumento?,"""What monument?""",Easy,0.8638,El Filibusterismo
¡Jesús!,"_Jesús!_""",Easy,0.8636,Noli Me Tangere
"Sa haráp ng̃ pang̃alang itó'y itinung̃ó na punô ng̃ kagiting̃an ni Ben-Zayb ang kaniyáng ulo, na iniisip si Abraham, si Guzman el Bueno ó, si Brutus man lamang at ang ibá pang matatandâng magitíng na nasa kasaysayan.","Before this name Ben-Zayb bowed his head heroically, thinking about Abraham, Guzman El Bueno, [75] or at least, Brutus and other heroes of antiquity.",Hard,0.863,El Filibusterismo
"Galing akó sa pagtatapós ng̃ aking pag-aaral makaraan ang mahabàng paglalakbáy sa Gresia, Asiria at Persia, at papauwî na akó sa aking bayan upang manirahan doon hanggang sa akó'y paharapín ni Thot sa kaniyáng kakilákilabot na hukuman.","I had come to complete my education after extensive travels through Greece, Assyria, and Persia, and had returned to my native laud to dwell in it until Thoth should call me before his terrible tribunal.",Hard,0.8619,El Filibusterismo
"Ang bawà't isá'y pumilì ng̃ isáng hiyas, may kumuha ng̃ isáng singsíng, may isáng orasán, may isáng guardapelo.","Each one selected some piece of jewelry, one a ring, another a watch, another a locket.",Hard,0.8615,El Filibusterismo
Kapalalùán ng̃ mg̃a kapalalùán at ang lahát ay kapalalùán!,Vanity of vanities and all is vanity!,Medium,0.8614,El Filibusterismo
"Siya, ang dahil sa náding̃íg sa Madrid ang pag-uusap ng̃ ukol sa mg̃a daang nilalatagan nang kahoy sa Paris, na noon ay hindî pa ginágawâ sa España, ay nagpalagáy na gawín sa Maynilà, sa paraang maglatag ng̃ mg̃a tablá sa mg̃a lansang̃an at ipagpakô na gaya ng̃ nákikíta sa mg̃a baháy-baháy; siya, ang dahil sa mg̃a kasawîáng nangyayarí sa mg̃a sasakyáng dádalawá ang gulóng, at upang maiwasan, ay ipínalagáy na magtagláy ng̃ tatló man lamang; siya rin namán, ang samantalàng gumáganáp sa pagka pang̃alawáng pang̃ulo ng̃ Junta de Sanidad ay nakaisip na wiligán ng̃ panglinis ang lahát ng̃ bagay, sampû ng̃ mg̃a balítàng pahatíd kawad na galing sa mg̃a bayang may sakít na nakahahawa; siya rin ang, sa pagkahabág sa mg̃a presídiario na nang̃agsisigawâ sa init ng̃ araw at sa pagnanasàng makapagtipíd ang Pamahalàan sa paggugol sa mg̃a kasuotan noon, ay ipinalagáy na suotan na lamang ng̃ isáng bahág at pagawín sa gabí at huwag sa umaga.","It was he who, having heard in Madrid mention of the wooden street pavements of Paris, not yet adopted in Spain, proposed the introduction of them in Manila by covering the streets with boards nailed down as they are on the sides of houses; it was he who, deploring the accidents to two-wheeled vehicles, planned to avoid them by putting on at least three wheels; it was also he who, while acting as vice-president of the Board of Health, ordered everything fumigated, even the telegrams that came from infected places; it was also he who, in compassion for the convicts that worked in the sun and with a desire of saving to the government the cost of their equipment, suggested that they be clothed in a simple breech-clout and set to work not by day but at night.",Hard,0.8611,El Filibusterismo
"Cayóng mga nariritó, mga sacerdote, mga hucóm, ¿nakita baga ninyó ang pagpapacacasipag sa paggawâ n~g matandâ ninyóng amá, at n~g masunduan ang inyóng icagagalíng, mamatay sa hapis ang amáng iyán sa isáng bilangguan, na nagbubuntong hinîn~gà sa pagmimithíng cayo'y mayacap; na humahanap n~g isáng taong sa canyáng umalíw, nag iísa, may sakít, samantalang cayo'y na sa ibáng lupain?...","You who are here, priests and judges, have you seen your aged father wear himself out working for you, separating himself from you for your welfare, have you seen him die of sorrow in a prison sighing for your embrace, seeking some one to comfort him, alone, sick, when you were in a foreign land?",Hard,0.8607,Noli Me Tangere
¿Hindi mo ba nakitang siya'y casama n~g Capitan General sa pagpapasial?,Didn't you see him walking with the Captain-General?,Medium,0.8607,Noli Me Tangere
"Ang tinitirahán ng̃ nag-aaral na itó sa bahay na iyon ay dalawáng silíd na napapalamutihang mabuti para sa kaniyang mag-isá lamang, mayroon siyang alilà at kotsero na nag-aarugâ sa kaniyáng sasakyáng _araña_ at sa kanyáng mg̃a kabayo.","This student occupied in that house, by himself, two rooms, luxuriously furnished, and had his servant and a cochero to look after his carriage and horses.",Hard,0.8606,El Filibusterismo
¿Papano ang pagliligtás sa kaniyá?,How could he save him?,Easy,0.8606,El Filibusterismo
¡lalong mabuti!,So much the better!,Easy,0.8604,Noli Me Tangere
¡pakinggán natin!--ang sinabi n~g mga ibá.,"Let's hear!"" exclaimed the others.",Easy,0.8604,Noli Me Tangere
Ng̃unì't ¿walâ ba si Simoun sa pistá kagabí?--ang tanóng ni Sensia.,"""But wasn't Simoun at the fiesta last night?"" asked Sensia.",Medium,0.8602,El Filibusterismo
Hindi sumagót si Crisóstomo; naglininglining na hindi umiimic.,"Crisostomo did not answer, but meditated in silence.",Easy,0.8601,Noli Me Tangere
"Samantalang ipinipilit ng̃ Rusia ang wikàng ruso sa Polonia upang itó'y kaniyáng maalipin, samantalang ipinagbabawal ng̃ Alemania ang wikàng pransés sa mg̃a lalawigang kaniyáng nasakóp, ang inyóng pamahalàan namán ay nagpupunyagî na huwág alisín sa inyó ang sariling wikà, datapwâ't kayó, bayang kahang̃àhang̃à na hawak ng̃ isáng pamahalàang hindî malirip, kayó'y nagpupumilit na iwan ang inyóng katang̃ìan sa pagkabansâ!","While Russia enslaves Poland by forcing the Russian language upon it, while Germany prohibits French in the conquered provinces, your government strives to preserve yours, and you in return, a remarkable people under an incredible government, you are trying to despoil yourselves of your own nationality!",Hard,0.8601,El Filibusterismo
¿Anó ang ibig mo?--ang tanong n~g mga matá n~g cura.,"""What do you want?"" questioned the curate's eyes.",Medium,0.86,Noli Me Tangere
"Tahô ninyóng lubós kung anó ang maaantáy ng̃ isáng tinúturûang humaráp sa isáng gurô: kayó na, na tagláy ang boóng pag-ibig sa katwiran, ang boóng kagandahang loób, ay nagkakahirap kayó sa pagpipigil ng̃ tinuturan ko ang mapapaít na katotohanan, ¡kayóng kayó na, P. Fernandez!","Well you know what is expected of a pupil who stands before a professor - you yourself, with all your love of justice, with all your kind sentiments, have been restraining yourself by a great effort while I have been telling you bitter truths, you yourself, Padre Fernandez!",Hard,0.86,El Filibusterismo
"Ibinulóng ni Basilio ang canyáng mga dasál, at nahigâ sa tabí n~g canyáng iná na nananalan~gin n~g paluhód.","Basilio murmured his prayers and lay down near his mother, who was upon her knees praying.",Hard,0.8599,Noli Me Tangere
¡Ating tingnán!,Let's see!,Easy,0.8598,Noli Me Tangere
¡Sabihin po lamang ninyó cung gaano ang ibig ninyóng ibayad!--ang pinipilit itanong ni Lucas.,"""Only tell me how much you're willing to pay,"" insisted Lucas.",Medium,0.8596,Noli Me Tangere
Samantala'y nagpapasimulâ n~g pagtílà ang ulán at untiunting lumiliwanag ang lán~git.,"Meanwhile, the rain was gradually ceasing and the sky was clearing.",Medium,0.8596,Noli Me Tangere
"Kilala na po ninyó ang ating mga artistang si na Ratia, Carvajal at Fernandez; camí lamang ang nacaunawa n~g canilang carikitang lumabas, sa pagca't ang mga taong walang pinag-arala'y walang napagtantò cahi't babahagya.","You already know our artists, Ratia, Carvajal, and Fernandez, whose cleverness was comprehended by us alone, since the uncultured crowd did not understand a jot of it.",Hard,0.8595,Noli Me Tangere
¡Lumayò cayó sa amin!,Away from us!,Easy,0.8594,Noli Me Tangere
"Nang ang parì'y lumapit sa may sakít at nakita itó, sa tulong ng̃ liwanag ng̃ lámpara, na hindî kumikilos, nakapikít ang mg̃a matá, ang kamáy na pumigil sa kaniyáng kamáy ay nakabuká at nálalahad sa gilid ng̃ hihigán, ay inakalà niyáng natutulog; ng̃unì't nang máramdamáng hindî humíhing̃á, ay marahan niyáng hinipò at sakâ pa lamang náhalatâng patáy: untî-untî nang lumálamíg.","When the priest returned to the sick man and looked at him in the light of the lamp, motionless, his eyes closed, the hand that had pressed his lying open and extended along the edge of the bed, he thought for a moment that he was sleeping, but noticing that he was not breathing touched him gently, and then realized that he was dead.",Hard,0.8593,El Filibusterismo
¡hindi mangyayari!,That can't be!,Easy,0.8589,Noli Me Tangere
"At hindî na naalaala ang pag-aaral, at ang ting̃ín ay sa malayò, ay iniisip-isip ang kapalaran ng̃ dalawáng iyon: ang isá'y binatà, mayaman, bihasá, malayà, nakapagpapasiya sa sarilìng kabuhayan, may magandáng kinabukasan, at ang babai'y kasinggandà ng̃ isáng pang̃arap, malinís, lipús pananalig at walâng kamalayan sa lakad ng̃ kamunduhán, nákakandóng sa mg̃a giliw at ng̃itî, nalalàan sa isáng maligayang pamumuhay, na sambahín ng̃ kaniyang mg̃a kaanak at igagalang sa mundó, ng̃unì't gayón man, ang dalawáng iyon na lipus ng̃ pag-ibig, punô ng̃ mg̃a adhikâ't pag-asa, dahil sa isáng sawîng kapalaran, ang lalaki'y naglalagalág sa boong lupalop na tang̃áy ng̃ ipo-ipong dugô at luhà, naghahasík ng̃ kasamaán at hindî kabutíhan, inaapí ang kabaitan, at inaayò ang masamâng hilig, samantalang ang babai ay naghihing̃alô sa dilím na mahiwagà ng̃ _claustro_ na kaniyáng pinasukan sa paghanap ng̃ kapayapàan, ng̃unì't mg̃a pagbabatà marahil ang nátagpô; malinis at walâng bahid dung̃is nang siya'y pumasok at naghing̃alô siya roong warì'y bulaklák na lugás....","Heedless now of his studies, he let his gaze wander into space as he pondered over the fate of those two beings: he - young, rich, educated, master of his fortunes, with a brilliant future before him; she - fair as a dream, pure, full of faith and innocence, nurtured amid love and laughter, destined to a happy existence, to be adored in the family and respected in the world; and yet of those two beings, filled with love, with illusions and hopes, by a fatal destiny he wandered over the world, dragged ceaselessly through a whirl of blood and tears, sowing evil instead of doing good, undoing virtue and encouraging vice, while she was dying in the mysterious shadows of the cloister where she had sought peace and perhaps found suffering, where she entered pure and stainless and expired like a crushed flower!",Hard,0.8589,El Filibusterismo
"Nan~ganác ang babae n~g isáng sanggól na lalaki at isáng sanggól na babae, na capuwa inalagaan n~g lihim, saca pinapaniwala ang mga batàng itóng namatáy na ang caniláng amá, bagay na hindi mahirap gawín, sapagca't caniláng nakita ang pagcamatay n~g caniláng iná, n~g panahóng silá'y musmós pa, bucod sa hindi nilá naiisip ang pag-uusisa n~g canilang pinanggalingan.","The woman gave birth to twins, a boy and a girl, who were nurtured in secret and made to believe that their father was dead no difficult matter, since at a tender age they saw their mother die, and they gave little thought to tracing genealogies.",Hard,0.8589,Noli Me Tangere
